"","DOID:1273","DOID:74","DOID:14250","DOID:409","DOID:2841","DOID:9351","DOID:850","DOID:2914","DOID:11705","DOID:9970","DOID:936","DOID:3083","DOID:3146","DOID:1459","DOID:0050742","DOID:1470","DOID:10652","DOID:6713","DOID:6000","DOID:1574","DOID:10763","DOID:2883","DOID:14320","DOID:1826","DOID:14330","DOID:9408","DOID:1307","DOID:3393","DOID:526","DOID:631","DOID:2355","DOID:5419","DOID:10273","DOID:1686","DOID:6132","DOID:13189","DOID:848","DOID:1612","DOID:0060224","DOID:8857","DOID:11476","DOID:8398","DOID:10283","DOID:0060072","DOID:4029","DOID:8534","DOID:3021","DOID:7148","DOID:12140","DOID:341","DOID:9477","DOID:1240"
"DOID:1273",1,0.135412554283458,0.135412554283458,0.109892388006257,0.0766892201129323,0.0933602719681705,0.109892388006257,0.176370950666949,0.109892388006257,0.0933602719681705,0.109892388006257,0.0823790970344355,0.135412554283458,0.109892388006257,0.109892388006257,0.0823790970344355,0.0823790970344355,0.0933602719681705,0.109892388006257,0.109892388006257,0.0933602719681705,0.0823790970344355,0.109892388006257,0.0933602719681705,0.0823790970344355,0.074963219752206,0.135412554283458,0.0933602719681705,0.605211212001579,0.074963219752206,0.109892388006257,0.109892388006257,0.135412554283458,0.0698989009481177,0.0766892201129323,0.074963219752206,0.0823790970344355,0.0933602719681705,0.109892388006257,0.0933602719681705,0.074963219752206,0.074963219752206,0.0823790970344355,0.176370950666949,0.109892388006257,0.135412554283458,0.0933602719681705,0.074963219752206,0.226732089065557,0.109892388006257,0.0933602719681705,0.0823790970344355
"DOID:74",0.135412554283458,1,0.135412554283458,0.266881513729481,0.186245248845693,0.0933602719681705,0.266881513729481,0.788270167266568,0.266881513729481,0.0933602719681705,0.266881513729481,0.200063521369343,0.135412554283458,0.266881513729481,0.109892388006257,0.0823790970344355,0.200063521369343,0.226732089065557,0.266881513729481,0.109892388006257,0.226732089065557,0.0823790970344355,0.109892388006257,0.226732089065557,0.200063521369343,0.182053533683929,0.135412554283458,0.226732089065557,0.135412554283458,0.182053533683929,0.81153766419781,0.109892388006257,0.328859060402685,0.169754473731143,0.186245248845693,0.182053533683929,0.200063521369343,0.0933602719681705,0.266881513729481,0.417263256347538,0.182053533683929,0.182053533683929,0.0823790970344355,0.176370950666949,0.266881513729481,0.328859060402685,0.226732089065557,0.182053533683929,0.0933602719681705,0.266881513729481,0.226732089065557,0.0823790970344355
"DOID:14250",0.135412554283458,0.135412554283458,1,0.109892388006257,0.0766892201129323,0.0933602719681705,0.109892388006257,0.176370950666949,0.109892388006257,0.0933602719681705,0.109892388006257,0.0823790970344355,0.135412554283458,0.109892388006257,0.109892388006257,0.0823790970344355,0.0823790970344355,0.0933602719681705,0.109892388006257,0.109892388006257,0.0933602719681705,0.0823790970344355,0.109892388006257,0.0933602719681705,0.0823790970344355,0.074963219752206,0.135412554283458,0.0933602719681705,0.135412554283458,0.074963219752206,0.109892388006257,0.109892388006257,0.135412554283458,0.0698989009481177,0.0766892201129323,0.074963219752206,0.0823790970344355,0.0933602719681705,0.109892388006257,0.0933602719681705,0.074963219752206,0.074963219752206,0.0823790970344355,0.176370950666949,0.109892388006257,0.135412554283458,0.0933602719681705,0.074963219752206,0.0933602719681705,0.109892388006257,0.0933602719681705,0.0823790970344355
"DOID:409",0.109892388006257,0.266881513729481,0.109892388006257,1,0.143573469751328,0.0714299464323527,0.21027009483971,0.357256553363825,0.21027009483971,0.0714299464323527,0.21027009483971,0.148976520421494,0.109892388006257,0.21027009483971,0.0865818037575277,0.0613432731147329,0.148976520421494,0.173472727049999,0.21027009483971,0.0865818037575277,0.173472727049999,0.0613432731147329,0.0865818037575277,0.173472727049999,0.148976520421494,0.132409048462471,0.109892388006257,0.173472727049999,0.109892388006257,0.132409048462471,0.21027009483971,0.0865818037575277,0.266881513729481,0.1210836969317,0.143573469751328,0.132409048462471,0.148976520421494,0.0714299464323527,0.21027009483971,0.173472727049999,0.132409048462471,0.132409048462471,0.0613432731147329,0.147105639620399,0.386967653528542,0.491151693334087,0.173472727049999,0.132409048462471,0.0714299464323527,0.21027009483971,0.173472727049999,0.0613432731147329
"DOID:2841",0.0766892201129323,0.186245248845693,0.0766892201129323,0.143573469751328,1,0.0475288235576909,0.652389028818398,0.252828194780397,0.143573469751328,0.0475288235576909,0.143573469751328,0.624477867768643,0.0766892201129323,0.143573469751328,0.0591184875446644,0.0397384474440781,0.0965076580784755,0.115427142925821,0.143573469751328,0.0591184875446644,0.115427142925821,0.0397384474440781,0.0591184875446644,0.115427142925821,0.0965076580784755,0.0836282440076777,0.0766892201129323,0.115427142925821,0.0766892201129323,0.0836282440076777,0.143573469751328,0.0591184875446644,0.186245248845693,0.0747848512797213,0.757937823909449,0.0836282440076777,0.0965076580784755,0.0475288235576909,0.143573469751328,0.115427142925821,0.0836282440076777,0.0836282440076777,0.0397384474440781,0.104105727262516,0.143573469751328,0.186245248845693,0.115427142925821,0.0836282440076777,0.0475288235576909,0.143573469751328,0.115427142925821,0.0397384474440781
"DOID:9351",0.0933602719681705,0.0933602719681705,0.0933602719681705,0.0714299464323527,0.0475288235576909,1,0.0714299464323527,0.128249502550101,0.0714299464323527,0.255398361876396,0.0714299464323527,0.0476199206365212,0.226732089065557,0.0714299464323527,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.041172338956928,0.0933602719681705,0.0571439257166366,0.0933602719681705,0.041172338956928,0.0714299464323527,0.0714299464323527,0.0933602719681705,0.0367619429090039,0.0475288235576909,0.041172338956928,0.0476199206365212,0.0571439257166366,0.0714299464323527,0.0571439257166366,0.041172338956928,0.041172338956928,0.0476199206365212,0.128249502550101,0.0714299464323527,0.0933602719681705,0.0571439257166366,0.041172338956928,0.0571439257166366,0.0714299464323527,0.0571439257166366,0.0476199206365212
"DOID:850",0.109892388006257,0.266881513729481,0.109892388006257,0.21027009483971,0.652389028818398,0.0714299464323527,1,0.357256553363825,0.21027009483971,0.0714299464323527,0.21027009483971,0.708500752496734,0.109892388006257,0.21027009483971,0.0865818037575277,0.0613432731147329,0.148976520421494,0.173472727049999,0.21027009483971,0.0865818037575277,0.173472727049999,0.0613432731147329,0.0865818037575277,0.173472727049999,0.148976520421494,0.132409048462471,0.109892388006257,0.173472727049999,0.109892388006257,0.132409048462471,0.21027009483971,0.0865818037575277,0.266881513729481,0.1210836969317,0.652389028818398,0.132409048462471,0.148976520421494,0.0714299464323527,0.21027009483971,0.173472727049999,0.132409048462471,0.132409048462471,0.0613432731147329,0.147105639620399,0.21027009483971,0.266881513729481,0.173472727049999,0.132409048462471,0.0714299464323527,0.21027009483971,0.173472727049999,0.0613432731147329
"DOID:2914",0.176370950666949,0.788270167266568,0.176370950666949,0.357256553363825,0.252828194780397,0.128249502550101,0.357256553363825,1,0.357256553363825,0.128249502550101,0.357256553363825,0.281152579275452,0.176370950666949,0.357256553363825,0.147105639620399,0.115768709113422,0.281152579275452,0.311463077621673,0.357256553363825,0.147105639620399,0.311463077621673,0.115768709113422,0.147105639620399,0.311463077621673,0.281152579275452,0.260731216522262,0.176370950666949,0.311463077621673,0.176370950666949,0.260731216522262,0.657472144425863,0.147105639620399,0.428329451619733,0.246807647440809,0.252828194780397,0.260731216522262,0.281152579275452,0.128249502550101,0.357256553363825,0.573196756295348,0.260731216522262,0.260731216522262,0.115768709113422,0.223744292237443,0.357256553363825,0.428329451619733,0.311463077621673,0.260731216522262,0.128249502550101,0.357256553363825,0.311463077621673,0.115768709113422
"DOID:11705",0.109892388006257,0.266881513729481,0.109892388006257,0.21027009483971,0.143573469751328,0.0714299464323527,0.21027009483971,0.357256553363825,1,0.0714299464323527,0.21027009483971,0.148976520421494,0.109892388006257,0.21027009483971,0.0865818037575277,0.0613432731147329,0.148976520421494,0.173472727049999,0.21027009483971,0.0865818037575277,0.173472727049999,0.0613432731147329,0.0865818037575277,0.173472727049999,0.148976520421494,0.132409048462471,0.109892388006257,0.173472727049999,0.109892388006257,0.132409048462471,0.21027009483971,0.0865818037575277,0.266881513729481,0.1210836969317,0.143573469751328,0.132409048462471,0.148976520421494,0.0714299464323527,0.21027009483971,0.173472727049999,0.132409048462471,0.132409048462471,0.0613432731147329,0.147105639620399,0.21027009483971,0.266881513729481,0.527498700621427,0.132409048462471,0.0714299464323527,0.21027009483971,0.173472727049999,0.0613432731147329
"DOID:9970",0.0933602719681705,0.0933602719681705,0.0933602719681705,0.0714299464323527,0.0475288235576909,0.255398361876396,0.0714299464323527,0.128249502550101,0.0714299464323527,1,0.0714299464323527,0.0476199206365212,0.226732089065557,0.0714299464323527,0.0714299464323527,0.0476199206365212,0.0476199206365212,0.0571439257166366,0.0714299464323527,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.0714299464323527,0.0571439257166366,0.0476199206365212,0.041172338956928,0.0933602719681705,0.0571439257166366,0.0933602719681705,0.041172338956928,0.0714299464323527,0.0714299464323527,0.0933602719681705,0.0367619429090039,0.0475288235576909,0.041172338956928,0.0476199206365212,0.0571439257166366,0.0714299464323527,0.0571439257166366,0.041172338956928,0.041172338956928,0.0476199206365212,0.128249502550101,0.0714299464323527,0.0933602719681705,0.0571439257166366,0.041172338956928,0.0571439257166366,0.0714299464323527,0.0571439257166366,0.0476199206365212
