,index,cluster,silhouette,name
62,328,0,-0.0020225027017351876,"['rectum cancer', 'immune system disease', 'respiratory syncytial virus infectious disease']"
63,158,0,-0.0020525721276375636,"['obsolete impaired renal function disease', 'respiratory syncytial virus infectious disease', 'congestive heart failure']"
64,15,0,-0.002425290925771178,['brain disease']
65,354,0,-0.002589250417582984,"['diabetes mellitus', 'respiratory syncytial virus infectious disease', 'respiratory system disease']"
66,360,0,-0.003223761215571733,"['brain disease', 'lung disease']"
67,172,0,-0.0038223384230769986,"['brain disease', 'major depressive disorder', 'respiratory syncytial virus infectious disease']"
68,271,0,-0.0038462580381382195,"['lung disease', 'hypertension']"
69,448,0,-0.0050964421679253755,"['myasthenia gravis', 'hypertension']"
70,438,0,-0.00509952102449601,"['diabetes mellitus', 'coronary artery disease']"
71,4,0,-0.005426404253604088,"['diabetes mellitus', 'obesity', 'respiratory syncytial virus infectious disease']"
72,103,0,-0.005702474041935468,"['gout', 'respiratory syncytial virus infectious disease']"
73,173,0,-0.005702474041935468,"['diabetes mellitus', 'generalized anxiety disorder', 'obesity', 'respiratory syncytial virus infectious disease']"
74,411,0,-0.005702474041935468,['fibromyalgia']
75,414,0,-0.005702474041935468,"['Meige syndrome', 'respiratory syncytial virus infectious disease']"
76,255,0,-0.0063925708829684885,"['lung cancer', 'respiratory syncytial virus infectious disease']"
77,86,0,-0.006760962533197726,"['lung disease', 'hypertension', 'respiratory syncytial virus infectious disease']"
78,125,0,-0.006772770121449605,"['major depressive disorder', 'respiratory syncytial virus infectious disease']"
79,243,0,-0.007118204766919514,"['breast cancer', 'respiratory syncytial virus infectious disease', 'bone cancer']"
80,126,0,-0.007684557529237858,"['diabetes mellitus', 'obsolete impaired renal function disease', 'endometrial cancer', 'obesity', 'respiratory syncytial virus infectious disease']"
81,334,0,-0.007859050678308012,"['coronary artery disease', 'retinal vein occlusion']"
82,13,0,-0.007892209031182268,"['lung disease', 'respiratory syncytial virus infectious disease']"
83,396,0,-0.008023983454496276,"['diabetes mellitus', 'cerebrovascular disease', 'hypertension', 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
84,163,0,-0.008428421855338774,"['rectum cancer', 'immune system disease']"
85,36,0,-0.008928571428571397,"['diabetes mellitus', 'brain disease']"
86,244,0,-0.009208121958974358,['bone benign neoplasm']
87,273,0,-0.009716200559847213,"['hypertension', 'respiratory syncytial virus infectious disease', 'hypothyroidism']"
88,310,0,-0.010199798024696512,"['liver cirrhosis', 'colon cancer', 'respiratory syncytial virus infectious disease']"
89,98,0,-0.010815067046991748,"['diabetes mellitus', 'thyroid gland cancer', 'respiratory syncytial virus infectious disease']"
90,278,0,-0.011064446090645668,"['diabetes mellitus', 'obesity', 'respiratory syncytial virus infectious disease', 'hyperthyroidism']"
91,226,0,-0.011334689130394733,"['schizophrenia', 'respiratory syncytial virus infectious disease']"
92,398,0,-0.011597482586167305,"['diabetes mellitus', 'fatty liver disease', 'liver disease', 'respiratory syncytial virus infectious disease']"
93,436,0,-0.01185644793945336,['lupus erythematosus']
94,59,0,-0.011925638727522248,"['diabetes mellitus', 'acute myocardial infarction', 'respiratory syncytial virus infectious disease']"
95,0,0,-0.013106849195365835,['respiratory syncytial virus infectious disease']
96,45,0,-0.013806453604273461,"['obsolete impaired renal function disease', 'obesity', 'respiratory syncytial virus infectious disease']"
97,209,0,-0.01501457515806448,"['chronic obstructive pulmonary disease', 'nicotine dependence']"
98,363,0,-0.015537518203477747,"['diabetes mellitus', 'breast cancer', 'hypertension', 'respiratory syncytial virus infectious disease']"
99,165,0,-0.017241202060049688,"['diabetes mellitus', 'human immunodeficiency virus infectious disease', 'respiratory syncytial virus infectious disease']"
100,338,0,-0.01931698610290783,"['diabetes mellitus', 'major depressive disorder', 'hypertension']"
101,378,0,-0.01931698610290783,"['liver cirrhosis', 'esophageal varix']"
102,425,0,-0.01931698610290783,"['diabetes mellitus', ""Crohn's disease"", 'respiratory syncytial virus infectious disease', 'nicotine dependence']"
103,78,0,-0.020718621726282322,"['diabetes mellitus', 'lipid metabolism disorder', 'respiratory syncytial virus infectious disease']"
104,385,0,-0.022936733042857038,"['lung disease', 'rheumatoid arthritis', 'respiratory syncytial virus infectious disease']"
105,223,0,-0.02379502740561727,"['diabetes mellitus', 'hepatitis C', 'liver cirrhosis', 'transthyretin amyloidosis', 'respiratory syncytial virus infectious disease']"
106,48,0,-0.023929525388510058,"['dementia', 'respiratory syncytial virus infectious disease']"
107,253,0,-0.025561500343414,"['generalized anxiety disorder', 'respiratory syncytial virus infectious disease']"
108,43,0,-0.029490450880972668,"['diabetes mellitus', 'cerebrovascular disease', 'respiratory syncytial virus infectious disease']"
109,63,0,-0.032353082831544935,['prostate cancer']
110,318,0,-0.04255038638072377,"['Down syndrome', 'obesity']"
111,23,0,-0.048327731344595684,[]
112,192,0,-0.14138557111457717,"['diabetes mellitus', 'breast cancer', 'immune system disease', 'respiratory syncytial virus infectious disease']"
113,332,0,-0.1518471093735263,['prostatic adenoma']
